regno,選手名,n2c,勝率,差し勝率,補正勝率,補正差し勝率,差し比率,差し巧者,差し不発
4000,松本博昭,44,0.091,0.091,0.112,0.092,1.0,,
3983,須藤博倫,44,0.182,0.091,0.175,0.092,0.5,,
4052,興津藍,44,0.159,0.091,0.159,0.092,0.571,,
4172,森定晃史,44,0.114,0.091,0.128,0.092,0.8,,
4437,中田元泰,45,0.133,0.089,0.141,0.091,0.667,,
5051,松本純平,45,0.2,0.089,0.187,0.091,0.444,,
4467,渡邉俊介,45,0.133,0.089,0.141,0.091,0.667,,
4710,福田宗平,45,0.156,0.089,0.157,0.091,0.571,,
5229,吉川晴人,45,0.133,0.089,0.141,0.091,0.667,,
4686,丸野一樹,45,0.178,0.089,0.172,0.091,0.5,,
4199,北川潤二,90,0.156,0.089,0.156,0.09,0.571,,
4236,松村敏,46,0.174,0.087,0.169,0.089,0.5,,
4159,向後龍一,46,0.174,0.087,0.169,0.089,0.5,,
4471,新田泰章,47,0.255,0.085,0.227,0.088,0.333,,
4466,南佑典,47,0.085,0.085,0.107,0.088,1.0,,
3251,平石和男,47,0.213,0.085,0.197,0.088,0.4,,
3562,山下和彦,47,0.128,0.085,0.137,0.088,0.667,,
5045,平川香織,48,0.271,0.083,0.238,0.087,0.308,,
4604,岩瀬裕亮,48,0.188,0.083,0.179,0.087,0.444,,
4144,石塚久也,48,0.146,0.083,0.15,0.087,0.571,,
3327,野長瀬正孝,48,0.125,0.083,0.135,0.087,0.667,,
5034,若林義人,48,0.146,0.083,0.15,0.087,0.571,,
4033,伊藤将吉,49,0.184,0.082,0.176,0.085,0.444,,
4959,井上忠政,49,0.204,0.082,0.191,0.085,0.4,,
3532,柴田光,61,0.246,0.082,0.224,0.085,0.333,,
4739,中村晃朋,49,0.163,0.082,0.162,0.085,0.5,,
3661,柳瀬興志,49,0.143,0.082,0.147,0.085,0.571,,
4379,桑島和宏,49,0.122,0.082,0.133,0.085,0.667,,
4137,君島秀三,50,0.14,0.08,0.145,0.084,0.571,,
4788,小池哲也,50,0.14,0.08,0.145,0.084,0.571,,
5191,飛田江己,51,0.176,0.078,0.172,0.083,0.444,,
3422,服部幸男,40,0.175,0.075,0.17,0.081,0.429,,
3686,鳥居塚孝博,40,0.1,0.075,0.12,0.081,0.75,,
5157,市川健太,40,0.075,0.075,0.103,0.081,1.0,,
4680,後藤美翼,40,0.1,0.075,0.12,0.081,0.75,,
3990,芹澤克彦,40,0.225,0.075,0.203,0.081,0.333,,
3474,松瀬弘美,40,0.15,0.075,0.153,0.081,0.5,,
4374,永田義紘,40,0.175,0.075,0.17,0.081,0.429,,
5096,上原崚,40,0.125,0.075,0.136,0.081,0.6,,
4524,深谷知博,40,0.125,0.075,0.136,0.081,0.6,,
4503,上野真之介,40,0.15,0.075,0.153,0.081,0.5,,
3977,山本兼士,40,0.125,0.075,0.136,0.081,0.6,,
3584,佐々木英樹,40,0.075,0.075,0.103,0.081,1.0,,
4826,井上一輝,40,0.125,0.075,0.136,0.081,0.6,,
4902,山川雄大,40,0.1,0.075,0.12,0.081,0.75,,
4347,魚谷香織,41,0.098,0.073,0.118,0.08,0.75,,
5263,花田凱成,41,0.098,0.073,0.118,0.08,0.75,,
5064,品川二千翔,41,0.098,0.073,0.118,0.08,0.75,,
5145,島川海輝,41,0.22,0.073,0.2,0.08,0.333,,
5076,石原光,41,0.122,0.073,0.134,0.08,0.6,,
4370,山口達也,41,0.268,0.073,0.232,0.08,0.273,,
3743,林美憲,55,0.164,0.073,0.162,0.079,0.444,,
5150,坂本雄紀,42,0.286,0.071,0.245,0.079,0.25,,
4861,田中宏樹,42,0.143,0.071,0.148,0.079,0.5,,
4381,田路朋史,42,0.19,0.071,0.18,0.079,0.375,,
5158,宮脇遼太,42,0.238,0.071,0.213,0.079,0.3,,
3898,平田忠則,42,0.167,0.071,0.164,0.079,0.429,,
3944,山口裕二,42,0.095,0.071,0.116,0.079,0.75,,
4293,鈴木智啓,43,0.093,0.07,0.114,0.078,0.75,,
4477,篠崎仁志,43,0.093,0.07,0.114,0.078,0.75,,
3265,今村暢孝,120,0.142,0.075,0.144,0.078,0.529,,
4974,安井瑞紀,43,0.163,0.07,0.162,0.078,0.429,,
3541,三嶌誠司,43,0.116,0.07,0.13,0.078,0.6,,
4607,鶴田勇雄,43,0.093,0.07,0.114,0.078,0.75,,
4084,杉山正樹,43,0.093,0.07,0.114,0.078,0.75,,
4430,永田秀二,43,0.14,0.07,0.146,0.078,0.5,,
4294,古賀繁輝,44,0.159,0.068,0.159,0.076,0.429,,
3430,角浜修,44,0.114,0.068,0.128,0.076,0.6,,
4811,向井田佑紀,44,0.091,0.068,0.112,0.076,0.75,,
4398,船岡洋一郎,44,0.159,0.068,0.159,0.076,0.429,,
5043,中村日向,44,0.114,0.068,0.128,0.076,0.6,,
4551,三川昂暁,44,0.159,0.068,0.159,0.076,0.429,,
4189,川上剛,57,0.123,0.07,0.132,0.076,0.571,,
4067,永井源,45,0.244,0.067,0.218,0.075,0.273,,
5222,津田陸翔,45,0.133,0.067,0.141,0.075,0.5,,
3918,深井利寿,45,0.178,0.067,0.172,0.075,0.375,,
3550,都築正治,45,0.178,0.067,0.172,0.075,0.375,,
4319,三宅潤,45,0.111,0.067,0.126,0.075,0.6,,
5257,西丸侑太朗,46,0.174,0.065,0.169,0.074,0.375,,
4173,岡谷健吾,46,0.13,0.065,0.139,0.074,0.5,,
3711,江本真治,47,0.085,0.064,0.107,0.073,0.75,,
3822,平尾崇典,47,0.106,0.064,0.122,0.073,0.6,,
5010,宇留田翔平,47,0.149,0.064,0.152,0.073,0.429,,
3489,大場敏,47,0.085,0.064,0.107,0.073,0.75,,
4057,松井賢治,48,0.146,0.062,0.15,0.072,0.429,,
3300,川崎智幸,48,0.146,0.062,0.15,0.072,0.429,,
3576,白水勝也,48,0.146,0.062,0.15,0.072,0.429,,
3539,金子順一,49,0.061,0.061,0.09,0.071,1.0,,
4679,植田太一,49,0.163,0.061,0.162,0.071,0.375,,
3940,飯山泰,50,0.18,0.06,0.174,0.07,0.333,,
5075,中島秀治,50,0.1,0.06,0.117,0.07,0.6,,
4376,藤田靖弘,51,0.078,0.059,0.101,0.069,0.75,,
3731,高濱芳久,54,0.074,0.056,0.097,0.066,0.75,,
4757,山田祐也,40,0.15,0.05,0.153,0.065,0.333,,
3981,今坂晃広,40,0.075,0.05,0.103,0.065,0.667,,
4890,石川諒,40,0.1,0.05,0.12,0.065,0.5,,
4973,栗原直也,40,0.05,0.05,0.086,0.065,1.0,,
4035,杉江浩明,40,0.1,0.05,0.12,0.065,0.5,,
4672,守屋大地,40,0.075,0.05,0.103,0.065,0.667,,
4076,杉田篤光,40,0.075,0.05,0.103,0.065,0.667,,
4413,水摩敦,55,0.091,0.055,0.109,0.065,0.6,,
4769,馬場剛,40,0.2,0.05,0.186,0.065,0.25,,
3401,上田隆章,40,0.05,0.05,0.086,0.065,1.0,,
4773,中川りな,40,0.1,0.05,0.12,0.065,0.5,,
3868,尾形栄治,40,0.05,0.05,0.086,0.065,1.0,,
3947,寺本昇平,40,0.05,0.05,0.086,0.065,1.0,,
5156,坂野さくら,40,0.075,0.05,0.103,0.065,0.667,,
3946,赤岩善生,134,0.097,0.06,0.105,0.064,0.615,,
5330,安河内鈴之介,41,0.244,0.049,0.216,0.064,0.2,,
3814,金子貴志,41,0.098,0.049,0.118,0.064,0.5,,
4411,沢田昭宏,41,0.073,0.049,0.101,0.064,0.667,,
4930,佐藤悠,41,0.171,0.049,0.167,0.064,0.286,,
3362,間嶋仁志,87,0.138,0.057,0.142,0.064,0.417,,
4024,井口佳典,41,0.098,0.049,0.118,0.064,0.5,,
4089,妹尾忠幸,41,0.098,0.049,0.118,0.064,0.5,,
4573,佐藤翼,41,0.146,0.049,0.15,0.064,0.333,,
4350,篠崎元志,41,0.171,0.049,0.167,0.064,0.286,,
3412,鈴木博,41,0.098,0.049,0.118,0.064,0.5,,
3663,木山和幸,42,0.071,0.048,0.1,0.063,0.667,,
3554,仲口博崇,58,0.121,0.052,0.13,0.063,0.429,,
3910,松下知幸,42,0.071,0.048,0.1,0.063,0.667,,
4536,喜井つかさ,42,0.238,0.048,0.213,0.063,0.2,,
4196,田中太一郎,42,0.095,0.048,0.116,0.063,0.5,,
4058,野末智一,42,0.119,0.048,0.132,0.063,0.4,,
3572,安田政彦,42,0.095,0.048,0.116,0.063,0.5,,
3956,横澤剛治,42,0.214,0.048,0.196,0.063,0.222,,
3807,岡部哲,43,0.093,0.047,0.114,0.062,0.5,,
4475,末永祐輝,43,0.07,0.047,0.098,0.062,0.667,,
4146,柳橋宏紀,43,0.047,0.047,0.082,0.062,1.0,,
4260,中越博紀,43,0.047,0.047,0.082,0.062,1.0,,
4209,藤田竜弘,43,0.07,0.047,0.098,0.062,0.667,,
4451,松崎祐太郎,43,0.186,0.047,0.177,0.062,0.25,,
3906,飯山晃三,43,0.07,0.047,0.098,0.062,0.667,,
5264,登みひ果,43,0.14,0.047,0.146,0.062,0.333,,
5247,大森翼,43,0.07,0.047,0.098,0.062,0.667,,
3849,中岡正彦,59,0.305,0.051,0.268,0.062,0.167,,
3748,小黒竜吾,43,0.047,0.047,0.082,0.062,1.0,,
4227,安達裕樹,43,0.07,0.047,0.098,0.062,0.667,,
4531,武富智亮,44,0.114,0.045,0.128,0.061,0.4,,
4109,谷津幸宏,44,0.159,0.045,0.159,0.061,0.286,,
4640,山ノ内雅人,44,0.068,0.045,0.097,0.061,0.667,,
4174,赤坂俊輔,44,0.114,0.045,0.128,0.061,0.4,,
3563,堤昇,44,0.091,0.045,0.112,0.061,0.5,,
4163,山崎裕司,44,0.068,0.045,0.097,0.061,0.667,,
3905,天野友和,44,0.068,0.045,0.097,0.061,0.667,,
3984,坂口周,44,0.091,0.045,0.112,0.061,0.5,,
4874,池田奈津美,95,0.116,0.053,0.123,0.06,0.455,,
3482,金子猛志,45,0.067,0.044,0.095,0.06,0.667,,
3973,崎利仁,45,0.044,0.044,0.08,0.06,1.0,,
3909,佐々木康幸,45,0.156,0.044,0.157,0.06,0.286,,
4123,細川裕子,45,0.111,0.044,0.126,0.06,0.4,,
4133,高橋正男,45,0.133,0.044,0.141,0.06,0.333,,
4978,山田和佐,46,0.087,0.043,0.109,0.059,0.5,,
5082,一色凌雅,46,0.043,0.043,0.078,0.059,1.0,,
3920,正木聖賢,63,0.079,0.048,0.099,0.059,0.6,,
4872,山下流心,47,0.064,0.043,0.092,0.058,0.667,,
3257,田頭実,137,0.234,0.051,0.224,0.057,0.219,,
3999,大瀧明日香,48,0.062,0.042,0.091,0.057,0.667,,
4030,森高一真,48,0.083,0.042,0.106,0.057,0.5,,
4122,安東幸治,49,0.061,0.041,0.09,0.056,0.667,,
4420,津久井拓也,49,0.061,0.041,0.09,0.056,0.667,,
4561,藤山翔大,53,0.226,0.038,0.208,0.053,0.167,,
3297,藤丸光一,58,0.086,0.034,0.105,0.05,0.4,,
3775,泉啓文,40,0.075,0.025,0.103,0.048,0.333,,
5143,常盤海心,40,0.025,0.025,0.07,0.048,1.0,,
5177,松井貫太,40,0.125,0.025,0.136,0.048,0.2,,
3843,上之晃弘,40,0.05,0.025,0.086,0.048,0.5,,
4384,鶴本崇文,40,0.075,0.025,0.103,0.048,0.333,,
4100,松田隆司,40,0.05,0.025,0.086,0.048,0.5,,
4134,杉山貴博,40,0.05,0.025,0.086,0.048,0.5,,
4382,高山智至,40,0.05,0.025,0.086,0.048,0.5,,
4270,岸本雄貴,40,0.075,0.025,0.103,0.048,0.333,,
5170,佐藤太亮,40,0.075,0.025,0.103,0.048,0.333,,
4138,中井俊祐,40,0.05,0.025,0.086,0.048,0.5,,
3687,花田和明,61,0.049,0.033,0.076,0.048,0.667,,
5317,長尾萌加,41,0.024,0.024,0.068,0.047,1.0,,●
4297,山田哲也,42,0.095,0.024,0.116,0.047,0.25,,●
3870,寺嶋雄,42,0.048,0.024,0.083,0.047,0.5,,●
4904,松本一毅,42,0.071,0.024,0.1,0.047,0.333,,●
4062,後藤陽介,41,0.024,0.024,0.068,0.047,1.0,,●
5289,佃來紀,41,0.073,0.024,0.101,0.047,0.333,,●
4910,中村泰平,42,0.095,0.024,0.116,0.047,0.25,,●
3850,小川知行,42,0.071,0.024,0.1,0.047,0.333,,●
5178,成貞琳平,41,0.049,0.024,0.085,0.047,0.5,,●
4043,桐本康臣,41,0.049,0.024,0.085,0.047,0.5,,●
5105,富田恕生,42,0.024,0.024,0.067,0.047,1.0,,●
4504,前田将太,43,0.07,0.023,0.098,0.046,0.333,,●
4808,松尾拓,43,0.116,0.023,0.13,0.046,0.2,,●
4019,笠原亮,43,0.116,0.023,0.13,0.046,0.2,,●
4253,西川真人,43,0.047,0.023,0.082,0.046,0.5,,●
3703,鳥飼眞,44,0.136,0.023,0.143,0.045,0.167,,●
3612,馬袋義則,66,0.076,0.03,0.095,0.045,0.4,,●
3161,古場輝義,44,0.045,0.023,0.081,0.045,0.5,,●
3614,谷勝幸,44,0.023,0.023,0.065,0.045,1.0,,●
3888,山本英志,45,0.089,0.022,0.11,0.044,0.25,,●
5003,来田衣織,45,0.067,0.022,0.095,0.044,0.333,,●
3268,森竜也,47,0.106,0.021,0.122,0.043,0.2,,●
3156,金子良昭,49,0.041,0.02,0.075,0.042,0.5,,●
3922,菅沼佳昭,50,0.02,0.02,0.06,0.041,1.0,,●
4844,村上奈穂,50,0.06,0.02,0.088,0.041,0.333,,●
3557,太田和美,53,0.075,0.019,0.098,0.04,0.25,,●
3542,清水紀克,132,0.045,0.023,0.06,0.032,0.5,,●
4948,木場悠介,40,0.1,0.0,0.12,0.031,0.0,,●
3282,池本輝明,41,0.0,0.0,0.052,0.031,0,,●
3381,滝沢芳行,40,0.05,0.0,0.086,0.031,0.0,,●
4562,阪本勇介,40,0.025,0.0,0.07,0.031,0.0,,●
5102,原田雄次,41,0.073,0.0,0.101,0.031,0.0,,●
4876,梅木敬太,40,0.0,0.0,0.053,0.031,0,,●
5306,河内悠利杏,40,0.025,0.0,0.07,0.031,0.0,,●
3226,浦田信義,42,0.0,0.0,0.051,0.03,0,,●
3618,海野ゆかり,43,0.209,0.0,0.193,0.03,0.0,,●
3546,中里昌志,42,0.0,0.0,0.051,0.03,0,,●
3212,亀本勇樹,43,0.023,0.0,0.066,0.03,0.0,,●
3708,岡部貴司,43,0.07,0.0,0.098,0.03,0.0,,●
3627,井上恵一,44,0.023,0.0,0.065,0.03,0.0,,●
4924,中北涼,42,0.024,0.0,0.067,0.03,0.0,,●
4261,岡祐臣,43,0.07,0.0,0.098,0.03,0.0,,●
3303,渡辺豊,43,0.023,0.0,0.066,0.03,0.0,,●
4501,樋口由加里,46,0.13,0.0,0.139,0.029,0.0,,●
4040,廣瀬将亨,47,0.021,0.0,0.062,0.028,0.0,,●
3655,本橋克洋,47,0.0,0.0,0.047,0.028,0,,●
4298,宮下元胤,50,0.1,0.0,0.117,0.027,0.0,,●
4496,内堀学,53,0.094,0.0,0.112,0.026,0.0,,●
3072,西田靖,136,0.044,0.015,0.059,0.025,0.333,,●
