登番,名前,級,採用元,丸亀走数,スロー平均ST,ダッシュ平均ST,スロー巧者(<=.13),スロー遅れ警戒(>.18),ダッシュ遅れ警戒(>.18)
4014,片岡恵里,A2,当地,10,0.162,0.205,,,●
4015,前野竜一,A2,当地,18,0.167,0.161,,,
4016,西川新太郎,B1,全国,0,0.167,0.167,,,
4017,向井美鈴,B1,当地,17,0.198,0.18,,●,
4019,笠原亮,A1,全国,0,0.152,0.184,,,●
4020,川上清人,B1,当地,36,0.175,0.197,,,●
4022,待鳥雄紀,B1,全国,9,0.171,0.152,,,
4023,柴田友和,B1,全国,0,0.176,0.172,,,
4024,井口佳典,A1,当地,11,0.155,0.146,,,
4025,山本隆幸,A1,当地,11,0.14,0.128,,,
4027,松江秀徳,A2,全国,8,0.167,0.153,,,
4028,田村隆信,A1,当地,20,0.148,0.18,,,
4030,森高一真,A1,当地,29,0.148,0.128,,,
4031,飯島誠,B1,全国,0,0.161,0.186,,,●
4033,伊藤将吉,A2,全国,0,0.148,0.157,,,
4034,西原明生,B1,当地,39,0.193,0.203,,●,●
4035,杉江浩明,B1,全国,0,0.217,0.205,,●,●
4036,金田諭,A1,当地,11,0.166,0.137,,,
4039,村上功祐,B1,全国,0,0.159,0.146,,,
4040,廣瀬将亨,A2,全国,9,0.15,0.14,,,
4041,小林基樹,B1,当地,20,0.216,0.215,,●,●
4042,丸岡正典,A2,当地,20,0.155,0.177,,,
4043,桐本康臣,A2,全国,0,0.17,0.169,,,
4044,湯川浩司,A1,全国,0,0.143,0.133,,,
4045,佐々木裕美,B1,全国,8,0.164,0.171,,,
4047,吉永浩則,B1,全国,7,0.159,0.201,,,●
4049,荒川健太,A2,当地,16,0.124,0.2,●,,●
4050,田口節子,A1,全国,8,0.143,0.161,,,
4051,清水敦揮,A2,当地,22,0.143,0.157,,,
4052,興津藍,A2,全国,9,0.136,0.18,,,
4053,芦澤望,A2,全国,0,0.157,0.167,,,
4054,福嶋智之,B1,全国,8,0.162,0.154,,,
4055,吉田俊彦,A2,当地,10,0.174,0.152,,,
4057,松井賢治,A2,全国,7,0.15,0.157,,,
4058,野末智一,A1,当地,12,0.152,0.198,,,●
4059,入澤友治,B1,当地,11,0.156,0.102,,,
4060,島田一生,B1,当地,21,0.191,0.13,,●,
4061,萩原秀人,A1,当地,10,0.09,0.085,●,,
4062,後藤陽介,B1,全国,0,0.174,0.181,,,●
4063,市橋卓士,A1,当地,13,0.15,0.152,,,
4064,原田篤志,A1,当地,24,0.157,0.187,,,●
4065,金田幸子,B1,全国,9,0.172,0.175,,,
4066,東本勝利,A2,当地,11,0.158,0.183,,,●
4067,永井源,A2,全国,0,0.165,0.163,,,
4068,幸田智裕,B1,全国,0,0.147,0.186,,,●
4069,山本修一,A2,当地,10,0.17,0.205,,,●
4071,古賀千晶,B1,全国,0,0.173,0.171,,,
4072,森永淳,A1,当地,13,0.094,0.118,●,,
4073,大橋純一郎,A1,全国,7,0.135,0.165,,,
4074,柳沢一,A1,当地,26,0.14,0.122,,,
4075,中野次郎,A1,当地,11,0.128,0.154,●,,
4076,杉田篤光,B1,全国,9,0.181,0.238,,●,●
4077,品田直樹,A2,当地,10,0.168,0.202,,,●
4079,出畑孝典,A2,当地,10,0.22,0.188,,●,●
4080,山崎哲司,B2,全国,0,0.138,0.155,,,
4081,樋口範政,B1,全国,0,0.177,0.196,,,●
4082,濱崎誠,B1,全国,0,0.154,0.196,,,●
4083,福島勇樹,A1,全国,7,0.127,0.153,●,,
4084,杉山正樹,A1,全国,9,0.152,0.161,,,
4085,荻野裕介,B1,全国,0,0.194,0.214,,●,●
4086,寺本重宣,A2,全国,0,0.142,0.156,,,
4089,妹尾忠幸,A2,全国,9,0.15,0.176,,,
4090,中村尊,B2,当地,16,0.146,0.16,,,
4092,岡部大輔,B1,当地,10,0.135,0.152,,,
4093,吉田宗弘,B1,全国,8,0.171,0.205,,,●
4094,中島真二,B1,当地,14,0.193,0.183,,●,●
4095,福来剛,A1,全国,0,0.128,0.14,●,,
4096,石橋道友,A1,全国,6,0.152,0.15,,,
4097,貫地谷直人,B1,当地,17,0.217,0.24,,●,●
4098,赤澤文香,B1,全国,7,0.179,0.208,,,●
4099,吉永則雄,A2,当地,17,0.15,0.129,,,
4100,松田隆司,B1,全国,0,0.156,0.171,,,
4102,益田啓司,A1,当地,12,0.187,0.22,,●,●
4103,山崎善庸,B1,全国,9,0.212,0.247,,●,●
4104,木下陽介,B1,全国,0,0.16,0.141,,,
4105,松下直也,B1,当地,20,0.175,0.168,,,
4106,坂井康嗣,B1,全国,7,0.186,0.181,,●,●
4108,吉村正明,A1,全国,8,0.15,0.134,,,
4109,谷津幸宏,A2,当地,20,0.127,0.122,●,,
4110,小澤和也,B1,全国,7,0.17,0.183,,,●
4111,奥田誠,A2,当地,20,0.191,0.166,,●,
4112,大久保信一郎,A2,全国,9,0.147,0.18,,,
4113,木村浩士,B1,全国,0,0.185,0.174,,●,
4114,深澤達徳,B1,全国,0,0.191,0.177,,●,
4116,川田正人,B1,当地,18,0.192,0.158,,●,
4117,廣中智紗衣,A2,当地,22,0.215,0.237,,●,●
4118,宇佐見淳,A2,全国,0,0.136,0.158,,,
4119,泥谷一毅,B1,全国,0,0.187,0.188,,●,●
4120,柘植政浩,A2,当地,13,0.137,0.172,,,
4121,富永修一,A2,当地,21,0.185,0.136,,●,
4122,安東幸治,A2,全国,0,0.166,0.177,,,
4123,細川裕子,A1,当地,28,0.186,0.21,,●,●
4124,池田雄一,A2,全国,0,0.164,0.165,,,
4128,川口貴久,B1,全国,9,0.144,0.137,,,
4129,宇野博之,B1,全国,9,0.17,0.192,,,●
4131,原豊土,B1,全国,8,0.16,0.178,,,
4133,高橋正男,A2,全国,7,0.162,0.175,,,
4134,杉山貴博,A2,当地,13,0.163,0.149,,,
4136,江夏満,A1,全国,0,0.148,0.188,,,●
4137,君島秀三,A1,当地,13,0.137,0.127,,,
4138,中井俊祐,B1,当地,23,0.195,0.146,,●,
4139,丹下健,B1,全国,9,0.175,0.2,,,●
4140,梶野学志,A2,全国,8,0.144,0.165,,,
4142,平野和明,A2,全国,0,0.173,0.187,,,●
4143,浦田晃嗣,B1,当地,13,0.138,0.162,,,
4144,石塚久也,A2,全国,0,0.186,0.179,,●,
4145,小澤学,B1,当地,15,0.237,0.249,,●,●
4146,柳橋宏紀,A2,全国,9,0.15,0.135,,,
4148,枝尾賢,A2,全国,7,0.143,0.137,,,
4150,山田雄太,A2,当地,10,0.138,0.145,,,
4151,下河誉史,B1,全国,7,0.182,0.198,,●,●
4152,深水慎一郎,A2,全国,8,0.177,0.185,,,●
4154,森安弘雅,B1,当地,42,0.183,0.216,,●,●
4155,長野壮志郎,A2,全国,5,0.158,0.154,,,
4156,浜野孝志,A2,当地,13,0.129,0.158,●,,
4158,木場雄二郎,B1,全国,8,0.172,0.162,,,
4159,向後龍一,A2,全国,0,0.155,0.174,,,
4161,黒柳浩孝,B1,全国,0,0.169,0.157,,,
4162,竹本太樹,B1,全国,0,0.166,0.193,,,●
4163,山崎裕司,A2,当地,10,0.153,0.177,,,
4164,岩永節也,B1,当地,10,0.156,0.18,,,
4166,吉田拡郎,A1,全国,8,0.13,0.119,●,,
4167,片岡秀樹,B1,全国,7,0.16,0.16,,,
4168,石野貴之,A1,全国,0,0.143,0.145,,,
4169,多田有佑,B1,当地,11,0.225,0.24,,●,●
4171,榎幸司,A2,当地,10,0.188,0.242,,●,●
4172,森定晃史,A2,当地,10,0.117,0.155,●,,
4173,岡谷健吾,B1,全国,0,0.173,0.167,,,
4174,赤坂俊輔,A1,当地,31,0.161,0.147,,,
4175,川尻泰輔,A2,全国,0,0.149,0.135,,,
4176,樋口喜彦,B2,当地,11,0.11,0.154,●,,
4177,萬正嗣,B1,当地,21,0.142,0.195,,,●
4179,広次修,A2,全国,0,0.146,0.166,,,
4180,上野秀和,A2,全国,0,0.175,0.168,,,
4181,花本夏樹,B1,全国,7,0.18,0.251,,,●
4182,吉田和仁,B1,全国,7,0.174,0.206,,,●
4183,宇野弥生,B1,全国,7,0.133,0.13,,,
4184,渡邊雄一郎,A1,全国,0,0.174,0.166,,,
4186,小川時光,B1,全国,0,0.17,0.175,,,
4188,久田敏之,A1,当地,13,0.111,0.108,●,,
4189,川上剛,A1,当地,10,0.153,0.145,,,
4190,長嶋万記,B2,全国,9,0.153,0.18,,,
4191,赤羽克也,A1,全国,9,0.163,0.156,,,
4193,郷原章平,A2,全国,0,0.137,0.159,,,
4195,前川守嗣,B1,全国,0,0.149,0.166,,,
4196,田中太一郎,B1,全国,0,0.187,0.165,,●,
4197,渥美卓郎,B1,当地,12,0.166,0.194,,,●
4199,北川潤二,A1,当地,24,0.157,0.154,,,
4200,早川尚人,B1,全国,7,0.192,0.179,,●,
4201,佐竹友樹,B1,全国,0,0.2,0.165,,●,
4202,浮田圭浩,B1,全国,9,0.164,0.208,,,●
4203,小倉康典,B1,全国,3,0.148,0.141,,,
4204,柴田大輔,B1,当地,17,0.158,0.171,,,
4205,山口剛,A1,全国,0,0.126,0.148,●,,
4207,松下一也,A1,当地,12,0.119,0.095,●,,
4208,三浦永理,A1,当地,20,0.143,0.146,,,
4209,藤田竜弘,A2,当地,17,0.162,0.179,,,
4210,松村康太,A2,当地,18,0.204,0.124,,●,
4211,村田敦,B1,全国,6,0.16,0.151,,,
4213,重富伸也,B1,当地,19,0.155,0.115,,,
4214,林祐介,B1,当地,11,0.14,0.172,,,
4215,吉島祥之,A2,全国,9,0.151,0.181,,,●
4216,星栄爾,B1,当地,13,0.114,0.148,●,,
4218,吉川喜継,A1,当地,10,0.144,0.186,,,●
4219,本岡勝利,B1,全国,0,0.177,0.191,,,●
4220,深川和仁,B1,当地,27,0.159,0.148,,,
4224,大橋栄里佳,B1,全国,0,0.196,0.201,,●,●
4225,土屋千明,A2,全国,0,0.133,0.17,,,
4226,村田浩司,B1,全国,0,0.159,0.145,,,
4227,安達裕樹,A2,全国,0,0.149,0.168,,,
4228,吉田慎二郎,A2,当地,19,0.2,0.172,,●,
4229,市川美宏,B1,全国,0,0.181,0.208,,●,●
4230,濱崎直矢,A2,全国,9,0.144,0.172,,,
4231,鈴木裕隆,B1,全国,7,0.17,0.178,,,
4232,笠雅雄,B1,全国,9,0.17,0.179,,,
4233,亀山雅幸,A2,当地,12,0.112,0.18,●,,
4234,野相弘司,B1,全国,7,0.142,0.203,,,●
4236,松村敏,A1,当地,11,0.088,0.12,●,,
4237,大峯豊,A1,当地,10,0.132,0.136,,,
4238,毒島誠,A1,全国,0,0.145,0.153,,,
4239,竹田辰也,A1,当地,15,0.144,0.128,,,
4240,今井裕梨,A2,当地,11,0.167,0.15,,,
4241,大串重幸,A2,全国,0,0.157,0.19,,,●
4243,西村歩,B1,当地,17,0.173,0.21,,,●
4244,鈴木成美,B2,全国,0,0.161,0.161,,,
4245,高橋直哉,B1,当地,24,0.188,0.194,,●,●
4246,喜多那由夏,B1,全国,9,0.184,0.182,,●,●
4247,齊藤優,B1,当地,12,0.168,0.184,,,●
4248,岡本大,B1,全国,3,0.15,0.184,,,●
4251,川崎誠志,B1,全国,0,0.206,0.22,,●,●
4252,松下哲也,B1,全国,0,0.183,0.196,,●,●
4253,西川真人,B1,全国,7,0.183,0.184,,●,●
4254,川島圭司,A2,当地,12,0.168,0.203,,,●
4256,渡辺浩司,A1,全国,8,0.126,0.14,●,,
4257,古川健,B1,全国,0,0.166,0.162,,,
4258,関根彰人,B1,当地,10,0.16,0.164,,,
4259,真庭明志,A2,当地,18,0.19,0.145,,●,
4260,中越博紀,B1,当地,10,0.166,0.146,,,
4261,岡祐臣,A2,全国,0,0.153,0.174,,,
4262,馬場貴也,A1,全国,9,0.142,0.148,,,
4263,武重雄介,B1,当地,16,0.152,0.209,,,●
4264,長尾章平,A1,全国,9,0.153,0.166,,,
4266,長田頼宗,A1,全国,9,0.136,0.16,,,
4268,和合俊介,B1,当地,10,0.225,0.133,,●,
4269,杉山裕也,A2,全国,0,0.153,0.141,,,
4270,岸本雄貴,B1,全国,0,0.155,0.21,,,●
4271,川崎公靖,B1,全国,9,0.161,0.154,,,
4272,大場広孝,B1,全国,7,0.148,0.188,,,●
4273,佐藤旭,B1,当地,10,0.164,0.153,,,
4274,長畑友輔,B1,全国,0,0.161,0.16,,,
4275,菅野はやか,B1,全国,9,0.234,0.198,,●,●
4276,鈴木勝博,A2,全国,6,0.177,0.145,,,
4277,金田大輔,B1,当地,19,0.133,0.146,,,
4278,藤岡俊介,A1,全国,9,0.119,0.139,●,,
4281,大澤大夢,B1,当地,18,0.147,0.171,,,
4283,石井裕美,B1,全国,7,0.167,0.172,,,
4286,平田さやか,A2,全国,0,0.142,0.163,,,
4287,今井貴士,A2,全国,9,0.17,0.166,,,
4288,永田啓二,A1,当地,21,0.14,0.105,,,
4289,落合直子,A2,当地,20,0.131,0.126,,,
4290,稲田浩二,A1,全国,0,0.136,0.114,,,
4292,麻生慎介,A1,当地,18,0.133,0.138,,,
4293,鈴木智啓,B1,当地,10,0.194,0.216,,●,●
4294,古賀繁輝,A1,当地,19,0.165,0.11,,,
4295,小坂尚哉,A1,当地,28,0.112,0.126,●,,
4296,岡崎恭裕,A2,当地,17,0.113,0.118,●,,
4297,山田哲也,A1,当地,12,0.128,0.088,●,,
4298,宮下元胤,A2,当地,11,0.186,0.213,,●,●
4299,中島浩哉,B1,全国,0,0.126,0.157,●,,
4300,加藤綾,B1,全国,8,0.167,0.192,,,●
4301,関裕也,B1,全国,6,0.192,0.207,,●,●
4302,西野翔太,A1,全国,8,0.149,0.149,,,
4303,牧原崇,B1,当地,19,0.173,0.18,,,
4304,藤崎小百合,B2,全国,0,,,,,
4305,金子拓矢,A1,全国,9,0.149,0.147,,,
4306,畔柳俊吾,B1,当地,12,0.2,0.16,,●,
4308,河村了,A1,全国,0,0.161,0.173,,,
4311,岡村仁,A1,全国,0,0.137,0.152,,,
4313,西村美智子,A2,当地,40,0.152,0.158,,,
4314,青木幸太郎,A2,当地,21,0.148,0.111,,,
4315,山崎昂介,B1,当地,14,0.206,0.186,,●,●
4317,木村紗友希,B1,当地,10,0.232,0.182,,●,●
4318,桑原将光,A2,当地,18,0.132,0.151,,,
4319,三宅潤,A2,当地,15,0.146,0.164,,,
4320,峰竜太,A1,全国,8,0.127,0.133,●,,
4323,山田佑樹,B1,当地,13,0.132,0.17,,,
4324,海野康志郎,A1,当地,31,0.121,0.168,●,,
4325,新出浩司,B1,全国,9,0.18,0.195,,,●
4327,加藤翔,B1,全国,0,0.184,0.205,,●,●
4329,小松卓司,B1,全国,0,0.157,0.192,,,●
4330,奈須啓太,A2,全国,7,0.131,0.113,,,
4331,三好勇人,A2,当地,47,0.126,0.154,●,,
4332,村上彰一,B1,当地,10,0.142,0.144,,,
4335,若林将,A1,全国,0,0.118,0.123,●,,
4336,松田竜馬,B1,当地,10,0.123,0.15,●,,
4337,平本真之,A1,全国,0,0.142,0.129,,,
4339,平瀬城啓,B1,全国,0,0.188,0.193,,●,●
4340,土性雅也,B2,全国,0,,,,,
4342,谷野錬志,A2,全国,7,0.149,0.155,,,
4343,村岡賢,B1,全国,0,0.163,0.178,,,
4344,新田雄史,A1,全国,8,0.12,0.168,●,,
4345,西舘健,A2,当地,13,0.133,0.145,,,
4346,前田健太郎,B1,当地,11,0.188,0.163,,●,
4347,魚谷香織,A2,当地,19,0.165,0.139,,,
4348,宮崎奨,A2,当地,64,0.16,0.182,,,●
4349,犬童千秋,B1,当地,10,0.122,0.184,●,,●
4350,篠崎元志,A1,全国,0,0.118,0.135,●,,
4351,里岡右貴,A1,全国,8,0.136,0.12,,,
4352,下條雄太郎,A1,全国,0,0.14,0.155,,,
4355,小川広大,B1,当地,13,0.161,0.212,,,●
4356,長岡良也,A2,当地,10,0.225,0.175,,●,
4357,田中和也,A1,全国,0,0.172,0.19,,,●
4358,松本庸平,B1,全国,7,0.191,0.252,,●,●
4359,横川聖志,A2,全国,5,0.135,0.129,,,
4360,庄司孝輔,A2,当地,12,0.15,0.14,,,
4361,柳生泰二,A1,全国,9,0.135,0.157,,,
4362,土屋智則,A1,全国,9,0.15,0.161,,,
4363,大野芳顕,A2,当地,18,0.161,0.176,,,
4364,池永太,A1,全国,9,0.125,0.135,●,,
4365,盛本真輔,A2,当地,11,0.126,0.123,●,,
4366,前沢丈史,A1,全国,0,0.144,0.131,,,
4367,山口修路,B1,当地,17,0.183,0.2,,●,●
4368,山口隆史,B1,当地,19,0.138,0.18,,,
4369,丹下将,A2,全国,6,0.162,0.153,,,
4370,山口達也,A1,当地,12,0.101,0.174,●,,
4371,西山貴浩,A1,全国,9,0.129,0.141,●,,
4372,原田佑実,A2,当地,21,0.155,0.149,,,
4373,若狭奈美子,A1,当地,12,0.163,0.172,,,
4374,永田義紘,B1,当地,11,0.163,0.158,,,
4375,照屋厚仁,A2,全国,0,0.16,0.175,,,
4376,藤田靖弘,A2,当地,26,0.128,0.184,●,,●
4377,濱本優一,A1,当地,19,0.161,0.134,,,
4379,桑島和宏,A2,全国,8,0.153,0.166,,,
4380,鈴木峻佑,B1,全国,0,0.159,0.177,,,
4381,田路朋史,A2,当地,13,0.153,0.122,,,
4382,高山智至,B1,全国,0,0.164,0.214,,,●
4383,竹田吉行,A2,当地,18,0.158,0.174,,,
4384,鶴本崇文,A1,全国,0,0.154,0.176,,,
4385,鈴木祐美子,B2,全国,0,0.194,0.201,,●,●
4387,平山智加,A1,当地,48,0.152,0.143,,,
4388,是澤孝宏,A2,当地,22,0.151,0.147,,,
4389,伊藤喜智,A2,当地,13,0.201,0.205,,●,●
4390,松本弓雄,B1,当地,10,0.104,0.186,●,,●
4391,松田祐季,A1,全国,7,0.148,0.155,,,
4393,田中孝明,B1,全国,0,0.161,0.227,,,●
4394,永嶋裕一,A2,全国,8,0.148,0.162,,,
4395,下河雅史,B1,全国,0,0.167,0.183,,,●
4396,大田直弥,B1,全国,7,0.187,0.209,,●,●
4397,西村拓也,A1,全国,0,0.13,0.135,●,,
4398,船岡洋一郎,A1,当地,33,0.152,0.129,,,
4399,松本晶恵,B2,全国,0,,,,,
4400,加藤奈月,B1,当地,18,0.18,0.176,,,
4401,小林泰,A2,当地,11,0.14,0.112,,,
4402,乙藤智史,A2,全国,0,0.159,0.174,,,
4403,木下大將,A2,当地,13,0.157,0.143,,,
4404,岸蔭亮,B1,全国,3,0.199,0.193,,●,●
4405,南野利騰,B1,全国,0,0.157,0.152,,,
4406,幸野史明,B1,全国,0,0.156,0.16,,,
4407,鹿島敏弘,B1,全国,0,0.16,0.198,,,●
4408,仁科さやか,B1,全国,2,0.157,0.215,,,●
4409,坂元浩仁,A1,全国,9,0.147,0.152,,,
4410,井上大輔,B1,全国,7,0.16,0.161,,,
4411,沢田昭宏,A2,全国,3,0.184,0.191,,●,●
4413,水摩敦,A2,当地,10,0.2,0.13,,●,
4414,大澤真菜,B1,全国,0,0.164,0.213,,,●
4415,下出卓矢,A1,全国,0,0.132,0.153,,,
4416,三宅健太,B1,当地,10,0.105,0.198,●,,●
4417,服部剛,B1,全国,7,0.2,0.212,,●,●
4418,茅原悠紀,A1,全国,0,0.119,0.14,●,,
4419,原加央理,A2,全国,9,0.152,0.158,,,
4420,津久井拓也,A2,当地,11,0.152,0.152,,,
4421,森作広大,B1,全国,8,0.168,0.212,,,●
4422,永井亮次,B1,全国,8,0.165,0.185,,,●
4423,坂口貴彦,B1,当地,26,0.172,0.171,,,
4424,松尾昂明,A2,全国,0,0.157,0.165,,,
4425,大井清貴,B1,全国,0,0.2,0.187,,●,●
4427,秦英悟,A1,全国,0,0.135,0.135,,,
4428,有賀達也,A2,当地,13,0.169,0.21,,,●
4429,豊田泰洋,B1,全国,3,0.164,0.216,,,●
4430,永田秀二,A2,全国,0,0.157,0.186,,,●
4431,石塚裕介,B1,全国,8,0.152,0.196,,,●
4432,黄金井力良,B1,全国,0,0.156,0.16,,,
4433,川野芽唯,A1,当地,29,0.179,0.194,,,●
4434,田中辰彦,A2,当地,19,0.17,0.166,,,
4435,服部達哉,A2,全国,7,0.181,0.182,,●,●
4436,渋谷明憲,A1,全国,9,0.153,0.155,,,
4437,中田元泰,A2,当地,52,0.144,0.168,,,
4438,森作雄大,B1,全国,0,0.13,0.131,●,,
4439,近藤友宝,B1,全国,6,0.175,0.178,,,
4440,萩原知哉,B1,全国,0,0.158,0.194,,,●
4441,末永由楽,A2,当地,12,0.114,0.12,●,,
4442,松竹大輔,B1,全国,9,0.161,0.152,,,
4443,津田裕絵,B1,当地,18,0.219,0.173,,●,
4444,桐生順平,A1,全国,0,0.123,0.135,●,,
4445,宮地元輝,A1,全国,9,0.118,0.12,●,,
4446,和田兼輔,A1,全国,0,0.129,0.143,●,,
4447,深川麻奈美,B1,全国,9,0.187,0.194,,●,●
4448,青木玄太,A1,当地,17,0.129,0.135,●,,
4449,中嶋達也,B1,全国,0,0.175,0.157,,,
4450,平高奈菜,A2,当地,46,0.168,0.163,,,
4451,松崎祐太郎,A2,全国,0,0.15,0.167,,,
4452,松尾祭,A2,当地,40,0.148,0.179,,,
4456,鎌倉涼,A1,当地,20,0.152,0.159,,,
4457,神田達也,B1,全国,0,0.162,0.159,,,
4458,抹香雄三,B1,当地,10,0.17,0.23,,,●
4459,片岡雅裕,A2,当地,50,0.115,0.119,●,,
4460,後藤翔之,A2,全国,0,0.136,0.153,,,
4461,安田吉宏,B1,全国,0,0.168,0.173,,,
4462,夏山亮平,B1,当地,19,0.124,0.149,●,,
4463,三苫晃幸,A2,全国,0,0.147,0.16,,,
4464,山下友貴,A1,全国,7,0.17,0.208,,,●
4465,大西賢,B1,全国,9,0.188,0.207,,●,●
4466,南佑典,A2,当地,10,0.141,0.21,,,●
4467,渡邉俊介,A1,全国,0,0.13,0.141,●,,
4468,大池佑来,A1,全国,9,0.13,0.142,●,,
4469,土山卓也,A2,全国,0,0.164,0.171,,,
4470,平田健之佑,A2,当地,10,0.107,0.138,●,,
4471,新田泰章,A1,全国,0,0.14,0.168,,,
4472,尾嶋一広,A1,当地,13,0.167,0.135,,,
4473,藤堂里香,B1,当地,11,0.23,0.164,,●,
4474,渡辺崇,B1,当地,17,0.181,0.195,,●,●
4475,末永祐輝,A1,当地,16,0.113,0.144,●,,
4477,篠崎仁志,A1,全国,0,0.13,0.139,●,,
4478,櫻本あゆみ,A1,全国,0,0.154,0.163,,,
4479,矢野真梨菜,B1,全国,8,0.184,0.201,,●,●
4482,守屋美穂,A1,全国,9,0.154,0.181,,,●
4483,北野輝季,A1,当地,18,0.17,0.16,,,
4484,稲生夏季,B1,全国,0,0.212,0.21,,●,●
4485,楠原正剛,B1,当地,18,0.109,0.167,●,,
4486,野村誠,A2,全国,8,0.173,0.179,,,
4487,三原司,B1,当地,19,0.166,0.186,,,●
4488,小山勉,A1,全国,8,0.168,0.179,,,
4489,岩川仁士,B1,全国,0,0.133,0.172,,,
4491,田中堅,B1,全国,0,0.191,0.206,,●,●
4492,本多宏和,B2,全国,0,0.13,0.192,●,,●
4494,河合佑樹,A1,全国,0,0.141,0.167,,,
4495,森晋太郎,B2,全国,0,0.126,0.144,●,,
4496,内堀学,A1,当地,10,0.146,0.162,,,
4497,桑原悠,A1,当地,13,0.121,0.117,●,,
4498,宮本夏樹,B2,全国,9,0.166,0.166,,,
4499,滝川真由子,B1,当地,10,0.132,0.163,,,
4500,山田康二,A1,全国,9,0.126,0.147,●,,
4501,樋口由加里,B1,当地,10,0.132,0.217,,,●
4502,遠藤エミ,A1,全国,9,0.135,0.14,,,
4503,上野真之介,A1,全国,9,0.103,0.12,●,,
4504,前田将太,A1,全国,9,0.168,0.139,,,
