regno,選手名,F本数,区分
3054,北川幸典,1,F1
3081,岡本慎治,1,F1
3233,小畑実成,1,F1
3246,星野政彦,1,F1
3265,今村暢孝,1,F1
3284,渡邊伸太郎,1,F1
3289,高橋淳美,1,F1
3294,野中義生,1,F1
3300,川崎智幸,1,F1
3370,坪内実,1,F1
3388,今垣光太郎,1,F1
3411,池上隆行,1,F1
3432,宮迫暢彦,1,F1
3436,柏野幸二,1,F1
3499,市川哲也,1,F1
3519,冨田秀幸,1,F1
3532,柴田光,1,F1
3587,武田信一,1,F1
3589,西村勝,1,F1
3596,河上年昭,1,F1
3617,竹田広樹,1,F1
3621,天野晶夫,2,F2+
3627,井上恵一,1,F1
3645,淺田千亜希,1,F1
3653,品川賢次,1,F1
3655,本橋克洋,1,F1
3656,伯母芳恒,1,F1
3681,山谷央,1,F1
3685,荒井輝年,1,F1
3686,鳥居塚孝博,1,F1
3711,江本真治,1,F1
3713,伊藤誠二,1,F1
3748,小黒竜吾,1,F1
3777,樋口亮,1,F1
3779,原田幸哉,1,F1
3828,明石正之,1,F1
3854,吉川元浩,1,F1
3866,木山誠一,1,F1
3871,池田紫乃,1,F1
3880,浅見宗孝,1,F1
3900,香川素子,1,F1
3906,飯山晃三,1,F1
3944,山口裕二,1,F1
3949,今出晋二,1,F1
3951,石川吉鎬,1,F1
3967,鈴木茂高,1,F1
3978,齊藤仁,1,F1
3992,関口智久,1,F1
3995,重野哲之,1,F1
3999,大瀧明日香,1,F1
4014,片岡恵里,1,F1
4027,松江秀徳,1,F1
4042,丸岡正典,1,F1
4047,吉永浩則,1,F1
4053,芦澤望,1,F1
4059,入澤友治,2,F2+
4069,山本修一,1,F1
4082,濱崎誠,1,F1
4083,福島勇樹,1,F1
4093,吉田宗弘,1,F1
4095,福来剛,1,F1
4098,赤澤文香,1,F1
4109,谷津幸宏,1,F1
4110,小澤和也,1,F1
4112,大久保信一郎,1,F1
4116,川田正人,1,F1
4128,川口貴久,1,F1
4140,梶野学志,1,F1
4168,石野貴之,1,F1
4183,宇野弥生,2,F2+
4189,川上剛,1,F1
4207,松下一也,1,F1
4219,本岡勝利,1,F1
4224,大橋栄里佳,1,F1
4227,安達裕樹,1,F1
4228,吉田慎二郎,1,F1
4243,西村歩,1,F1
4264,長尾章平,1,F1
4289,落合直子,1,F1
4297,山田哲也,1,F1
4311,岡村仁,1,F1
4318,桑原将光,1,F1
4332,村上彰一,1,F1
4349,犬童千秋,1,F1
4351,里岡右貴,1,F1
4359,横川聖志,1,F1
4366,前沢丈史,1,F1
4373,若狭奈美子,1,F1
4383,竹田吉行,1,F1
4404,岸蔭亮,1,F1
4409,坂元浩仁,1,F1
4436,渋谷明憲,1,F1
4439,近藤友宝,1,F1
4442,松竹大輔,1,F1
4446,和田兼輔,1,F1
4456,鎌倉涼,1,F1
4457,神田達也,1,F1
4459,片岡雅裕,1,F1
4468,大池佑来,1,F1
4482,守屋美穂,1,F1
4485,楠原正剛,1,F1
4494,河合佑樹,1,F1
4499,滝川真由子,1,F1
4508,野間大樹,1,F1
4518,大須賀友,1,F1
4521,小池公生,1,F1
4524,深谷知博,1,F1
4532,秋元哲,1,F1
4535,北山康介,1,F1
4538,笠置博之,1,F1
4540,相原利章,1,F1
4543,重木輝彦,1,F1
4544,松田大志郎,1,F1
4548,篠木亜衣花,1,F1
4552,杉山勝匡,1,F1
4558,宮野仁,1,F1
4560,庄司樹良々,1,F1
4561,藤山翔大,1,F1
4566,塩田北斗,1,F1
4571,菅章哉,1,F1
4573,佐藤翼,1,F1
4581,吉村誠,1,F1
4584,村岡賢人,1,F1
4590,渡邉優美,1,F1
4600,井内将太郎,1,F1
4610,佐藤大佑,1,F1
4614,石倉洋行,1,F1
4618,乃村康友,1,F1
4624,高田明,1,F1
4641,磯村匠,2,F2+
4663,籾山佳岳,1,F1
4676,後藤隼之,1,F1
4678,水野望美,1,F1
4685,島村隆幸,1,F1
4692,酒井俊弘,1,F1
4706,三浦洋次朗,1,F1
4708,半田尚也,1,F1
4709,岡村将也,1,F1
4718,北川太一,1,F1
4720,西澤日花里,1,F1
4728,山口亮,1,F1
4731,間野兼礼,1,F1
4737,竹井貴史,1,F1
4748,渡邉雄朗,1,F1
4764,小池礼乃,1,F1
4765,野田部宏子,1,F1
4781,西舘果里,1,F1
4782,浜崎準也,1,F1
4784,向井田真紀,1,F1
4790,柳内敬太,1,F1
4797,中山将,1,F1
4813,宮内直哉,1,F1
4818,伏見俊介,1,F1
4819,蜂須瑞生,1,F1
4823,中村桃佳,1,F1
4842,山下昂大,1,F1
4843,深尾巴恵,1,F1
4845,前田紗希,1,F1
4854,大橋由珠,1,F1
4863,三浦裕貴,1,F1
4864,小川日紀太,1,F1
4865,立具敬司,1,F1
4871,菊池宏志,1,F1
4872,山下流心,1,F1
4887,富澤祐作,1,F1
4889,後藤盛也,2,F2+
4896,花本剛,1,F1
4903,吉田凌太朗,1,F1
4909,薮内瑞希,1,F1
4911,片岡大地,1,F1
4914,吉田裕平,1,F1
4918,川島拓郎,1,F1
4919,吉田翔悟,1,F1
4936,戸敷晃美,1,F1
4951,新田洋一,1,F1
4954,内山峻輔,1,F1
4961,西橋奈未,1,F1
4967,中村魁生,1,F1
4973,栗原直也,1,F1
4974,安井瑞紀,1,F1
4982,中村将隆,1,F1
4989,石原翼,1,F1
5000,岡本翔太郎,1,F1
5007,近藤雄一郎,1,F1
5009,大賀龍之介,1,F1
5013,山下夏鈴,1,F1
5014,梶山涼斗,1,F1
5039,倉田茂将,1,F1
5041,荒牧凪沙,1,F1
5042,畑田汰一,1,F1
5045,平川香織,1,F1
5046,松山裕基,1,F1
5049,松井友汰,1,F1
5053,山口広樹,1,F1
5058,前原大道,1,F1
5061,中村駿平,1,F1
5065,伊久間陽優,1,F1
5071,野見山拓己,1,F1
5075,中島秀治,1,F1
5079,大石真央,1,F1
5083,柳瀬幹太,1,F1
5087,佐藤航,1,F1
5090,生方靖亜,1,F1
5092,篠原晟弥,1,F1
5107,松本真広,1,F1
5121,定松勇樹,1,F1
5122,相馬翔,1,F1
5132,中野希一,1,F1
5133,堀越雄貴,1,F1
5139,大場恒季,1,F1
5147,田中勇輔,1,F1
5148,松本怜,1,F1
5150,坂本雄紀,1,F1
5153,佐藤ほのか,1,F1
5163,清水愛海,1,F1
5173,谷口佳蓮,1,F1
5174,川井萌,1,F1
5185,加藤優弥,1,F1
5187,小坂風太,1,F1
5192,中尾優香,2,F2+
5194,大久保佑香,1,F1
5195,北村寧々,1,F1
5196,鰐部太空海,2,F2+
5197,中野仁照,1,F1
5206,梅原祥平,1,F1
5207,高山敬悟,1,F1
5208,屋良龍紀,1,F1
5217,藤原碧生,2,F2+
5218,山田理央,1,F1
5222,津田陸翔,1,F1
5241,門田栞,1,F1
5242,高山弘斗,1,F1
5253,藤井太雅,1,F1
5255,藤原仙二,1,F1
5256,中山翔太,1,F1
5262,鈴木章司,1,F1
5264,登みひ果,1,F1
5266,石田勇斗,1,F1
5270,小玉啓太,1,F1
5275,松田淳平,1,F1
5277,井上未都,1,F1
5278,田中駿兵,1,F1
5281,井上遥妃,1,F1
5283,植木美帆,1,F1
5287,滝沢織寧,1,F1
5295,田上凜,2,F2+
5305,伊藤栞,1,F1
5306,河内悠利杏,1,F1
5309,森雄利,1,F1
5312,川辺郭人,1,F1
5313,鈴木唯央,1,F1
5316,村松将平,1,F1
5318,河内一馬,1,F1
5319,近藤颯斗,1,F1
5321,一色颯輝,1,F1
5327,西田和加,1,F1
5329,金子龍斗,1,F1
5332,村松遥輝,1,F1
5334,樫葉新心,1,F1
5336,瀬川大地,1,F1
5341,山道諄也,1,F1
5349,宮崎奏磨,1,F1
5353,草川壮良,1,F1
5356,長谷川暖,1,F1
5359,佐藤世那,1,F1
5360,高木茉白,1,F1
5362,中嶋世奈,1,F1
5365,石村日奈那,1,F1
5367,赤松咲香,1,F1
5372,上岡巧汰,1,F1
5378,鈴木結平太,1,F1
5381,有山望,1,F1
5388,佐野優都,1,F1
5397,寺田夢生,1,F1
5402,塚越陸斗,1,F1
5417,小柳勝希,1,F1
5418,堀内亜海,1,F1
5422,真田聖也,2,F2+
5423,高橋嗣穏,1,F1
5428,古園井綾南,1,F1
5430,鳥本智史,1,F1
5431,得山大輝,2,F2+
5437,中澤里桜,1,F1
5441,鈴木雄登,1,F1
5451,知念伶奈,1,F1
5452,上馬場風依,1,F1
5465,直江健成,1,F1
5470,坂口諒宗,1,F1
5472,中川海虹,1,F1
